domain,estimate,conf_low,conf_high,p_value,n,model_version
overall,1.0233574851920022,1.017103567772743,1.0296498563974108,1.554994122990207e-13,155839,2
income,1.0237286578687543,1.0174674800028065,1.030028365072533,6.76675505399667e-14,155839,2
employment,1.0248176982705837,1.0185570007056541,1.0311168780549393,4.471083293877135e-15,155839,2
education,1.0250402551667486,1.0187919491283761,1.0313268824034603,2.2292377446020752e-15,155839,2
health,1.0251427372629942,1.0188750706056526,1.0314489598203287,2.0871105657685166e-15,155839,2
access,1.0002960227284325,0.9941847708860111,1.0064448404239783,0.9245830384497968,155839,2
crime,1.0085887484640834,1.0024257252451607,1.0147896626251882,0.00624372256527797,155839,2
housing,0.9980008806044748,0.991905074867424,1.004134148442008,0.5220658689619341,155839,2
