epoch,n_weeks,median,q1,q3,min,max,mean
Pre-VOC,24,0.13240114464099895,0.04604969720657135,0.29395213750193455,0.02826695194206715,0.6145426114151681,0.19457123582931599
Alpha,18,0.5233803431955844,0.11857254955407892,0.5803912455209747,0.025261178437108234,0.5977894342450356,0.37390889841916597
Delta,29,0.16187336326225216,0.1341307328965412,0.20338420703384208,0.10300129386643805,0.5819000516719569,0.2097652789056319
Omicron BA.1,9,0.078007024329205,0.06066191746050932,0.09381184596877466,0.0489096368127449,0.16830141913642752,0.08476706797442918
Omicron BA.2+,51,0.14080815435020022,0.12085281207822693,0.1721681037732002,0.09631368440141448,0.2677284201212689,0.15229089750657654
