epoch,simd_quintile,n_sequences,pct_within_epoch,pct_within_quintile
Pre-VOC,1,2157,24.173484254174603,2.9930481357625545
Pre-VOC,2,1834,20.55362546228847,2.737395146123765
Pre-VOC,3,1514,16.967387649893535,2.6067941941149124
Pre-VOC,4,1606,17.998431020957078,2.606169774272593
Pre-VOC,5,1812,20.307071612686315,3.0647452811041203
Alpha,1,7830,30.116542943959384,10.864889616606769
Alpha,2,5941,22.850878879956923,8.867428878473984
Alpha,3,4245,16.32755105965614,7.309010141359183
Alpha,4,4227,16.258317627601063,6.859451828051214
Alpha,5,3756,14.446709488826494,6.352750152222447
Delta,1,23581,21.929897981009773,32.72094023616912
Delta,2,22113,20.564684875707947,33.005462849637304
Delta,3,19242,17.894707474262756,33.13073572203378
Delta,4,21373,19.87649843298087,34.68347857131266
Delta,5,21220,19.73421123603865,35.89067045531426
Omicron BA.1,1,12221,21.646562870857466,16.957830907350104
Omicron BA.1,2,11698,20.720194130045876,17.46022269321472
Omicron BA.1,3,10279,18.20677683901022,17.69830747774583
Omicron BA.1,4,11196,19.83102183963016,18.168540966846795
Omicron BA.1,5,11063,19.595444320456277,18.711521547933156
Omicron BA.2+,1,26278,22.085508013749862,36.463291104111455
Omicron BA.2+,2,25412,21.357672944874476,37.929490432550224
Omicron BA.2+,3,22799,19.161560895253945,39.255152464746295
Omicron BA.2+,4,23221,19.51623341149576,37.68235885951674
Omicron BA.2+,5,21273,17.879024734625954,35.98031256342602
