domain,estimate,conf_low,conf_high,p_value,n
overall,1.0533576001722205,1.0479853716391072,1.0587573680586426,0.0,190021
income,1.0482617737483708,1.0429159312166227,1.0536350183280874,0.0,190021
employment,1.0554773930111416,1.0500948180361354,1.060887557983607,0.0,190021
education,1.0640875030277608,1.0586714766615912,1.0695312370844137,0.0,190021
health,1.0641016992289465,1.0586867849386723,1.0695443094319195,0.0,190021
access,0.972708026657229,0.9677708831450609,0.9776703573149129,0.0,190021
crime,1.022763443732213,1.0175436456409037,1.0280100183576109,0.0,190021
housing,1.0115710930295487,1.006409455833905,1.0167592030473473,1.0443298195772499e-05,190021
