term,estimate,std_error,conf_low,conf_high,z,p_value,domain,abs_std_coef,share
dep_access,-0.004066645981006167,0.0030591516807229224,-0.010062473098468269,0.0019291811364559354,-1.3293378051934839,0.18373654695816732,access,0.004066645981006167,0.013000914536358776
dep_crime,-0.013569883549262486,0.003673606729339658,-0.020770020432132198,-0.006369746666392774,-3.6938857501771056,0.0002208530610419146,crime,0.013569883549262486,0.0433824082834603
dep_education,0.02356244820269637,0.006040323939543186,0.011723630826236632,0.035401265579156106,3.900858370930076,9.585221811803102e-05,education,0.02356244820269637,0.0753282623521714
dep_employment,0.0322132166829142,0.0111774107564275,0.0103058941599057,0.054120539205922705,2.88199274276381,0.003951688348970972,employment,0.0322132166829142,0.10298444442713814
dep_housing,-0.047511253351096974,0.004021744808936532,-0.055393728331623496,-0.03962877837057045,-11.813592261131145,0.0,housing,0.047511253351096974,0.15189169335563182
dep_income,-0.07403394244244205,0.012034580928196245,-0.0976212876307393,-0.05044659725414479,-6.151767384686018,7.662421808163344e-10,income,0.07403394244244205,0.23668373469916612
dep_health,0.11783952647157789,0.008618109927810263,0.10094834139826268,0.13473071154489308,13.673476836413387,0.0,health,0.11783952647157789,0.3767285423460736
