term,estimate,std_error,conf_low,conf_high,z,p_value,quintile,epoch
q_1,0.46966525264548664,0.08761546390705736,0.395557854641342,0.5576566030841602,-8.62558996718579,0.0,1,Pre-VOC
q_2,0.7173753397850959,0.0950926660201107,0.5953925819004657,0.8643496640302688,-3.4929727265495005,0.000477675292965829,2,Pre-VOC
q_3,0.872301102225922,0.10055112757193145,0.7162706342774618,1.0623208275348688,-1.3587178707687293,0.17423600698043895,3,Pre-VOC
q_4,1.0245855987391996,0.1013861370886152,0.8399398975026311,1.2498223411758766,0.23956171549714161,0.8106700471751291,4,Pre-VOC
q_1,0.3715241862068046,0.0629233239963153,0.32841778000167543,0.4202885146350002,-15.735680346621535,0.0,1,Alpha
q_2,0.5432479200569704,0.06671578250104054,0.47666086325562707,0.6191368442345901,-9.1461040503668,0.0,2,Alpha
q_3,0.751199423755517,0.07049246000614053,0.6542623893821107,0.8624988741650725,-4.0583647976262585,4.941753044573893e-05,3,Alpha
q_4,0.8467392833965424,0.07252024813284191,0.7345483062406457,0.9760657099820527,-2.294013710758107,0.021789711203242357,4,Alpha
q_1,0.4360757893313678,0.024887987958755495,0.41531467957811496,0.45787472341248797,-33.34697940923462,0.0,1,Delta
q_2,0.5839832160877679,0.025754181385909135,0.5552369584951669,0.6142177523565935,-20.885270165757664,0.0,2,Delta
q_3,0.7482203605718112,0.026996116770732048,0.7096600962234115,0.7888758448635769,-10.744424731973368,0.0,3,Delta
q_4,0.8850290926180018,0.026805464056409697,0.8397319832314566,0.9327696341468846,-4.556338261587275,5.205308606148762e-06,4,Delta
q_1,0.38542315669061805,0.04082961727516852,0.35578167122312543,0.41753418382308455,-23.351025642950695,0.0,1,Omicron BA.1
q_2,0.5090507244293441,0.0423602942214384,0.46849386921432495,0.5531185295479136,-15.939634621037566,0.0,2,Omicron BA.1
q_3,0.6923853056085082,0.04493133075542274,0.6340189291000874,0.7561247612954294,-8.181655698310593,2.220446049250313e-16,3,Omicron BA.1
q_4,0.8296214875473361,0.04497015862357051,0.7596286279296721,0.906063551706975,-4.1535481978629845,3.2735922139037754e-05,4,Omicron BA.1
q_1,0.3757590486931309,0.024042886478267043,0.35846281056785945,0.3938898499710268,-40.710884270854955,0.0,1,Omicron BA.2+
q_2,0.474498407361905,0.024554561980016158,0.4522034569049852,0.49789256395775744,-30.360835513984316,0.0,2,Omicron BA.2+
q_3,0.6172641715551829,0.0255077625688013,0.5871631918655114,0.6489082809757888,-18.91417134438723,0.0,3,Omicron BA.2+
q_4,0.7718768811890075,0.025928970819429555,0.7336302888247974,0.8121173959004224,-9.986135732267234,0.0,4,Omicron BA.2+
