selection_reason,cluster_id,n_cases,centroid_x,centroid_y,mean_dist_centroid,median_dist_centroid,max_dist_centroid,sd_x,sd_y,n_datazones,min_collection_date,max_collection_date,median_collection_date,date_range_days,wn_mid_date,dominant_sex,dominant_sex_prop,sex_entropy,dominant_age_band,dominant_age_band_prop,age_entropy,n_age_bands_present,dominant_simd_quintile,dominant_simd_prop,simd_entropy,prop_simd_q1,prop_simd_q5,mean_simd,median_simd,n_simd_quintiles,dominant_health_board,dominant_hb_prop,hb_entropy,n_health_boards,is_multi_board,dominant_lineage,dominant_lineage_prop,lineage_entropy,n_lineages,is_mixed_lineage,size_type,spatial_type,age_type,deprivation_type,geographic_type,lineage_type,temporal_type,meta_cluster
simd_mixed,W041|B.1.1.7|R0.3|C50,10.0,283226.9792350185,663524.1790145106,19681.97095946609,22806.052236422183,34695.99214514253,13456.274438786513,18028.63922931613,7.0,2021-04-14,2021-04-22,2021-04-16,8,2021-04-20,Female,0.5,0.6931471805599453,35-39,0.4,1.6094379124341,6,1.0,0.2,1.6094379124341005,0.2,0.2,3.0,3.0,5.0,Lanarkshire,0.6,1.0888999753452235,4,1,B.1.1.7,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,intermediate_age_mix,mixed_deprivation,multi_board,lineage_pure,intermediate_duration,
multi_board,W075|BA.1|R0.3|C4,1946.0,279632.3235604933,676910.7352850655,45936.34560618481,31761.968018725798,494403.5856037269,40506.665178837175,49590.023382584666,1512.0,2021-12-10,2021-12-24,2021-12-18,14,2021-12-14,Female,0.5344295991778006,0.6907745088426747,20-24,0.14388489208633093,2.5477412005292934,16,5.0,0.2147995889003083,1.6082244694951924,0.19784172661870503,0.2147995889003083,3.052415210688592,3.0,5.0,Greater Glasgow and Clyde,0.328365878725591,1.965307972879905,14,1,BA.1,1.0,-0.0,1,0,very_large,intermediate_spread,age_mixed,mixed_deprivation,multi_board,lineage_pure,long_lived,
meta_representative,W086|BA.1.1|R0.3|C553,8.0,255402.79546534666,643623.970647555,24817.08508476594,23916.902878558583,31668.088264397848,15226.352951030667,22140.448137584324,6.0,2022-02-20,2022-02-25,2022-02-24,5,2022-03-01,Female,0.875,0.37677016125643675,20-24,0.375,1.4941751382893085,5,2.0,0.375,1.3208883431493221,0.25,0.125,2.625,2.0,4.0,Ayrshire and Arran,0.625,0.9002560512685369,3,1,BA.1.1,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,intermediate_age_mix,mixed_deprivation,multi_board,lineage_pure,short_lived,0.0
meta_representative,W050|AY.4|R0.3|C87,33.0,299363.3758426552,680353.9777263292,36609.14211744564,25900.989207047543,147782.6536969911,34392.9828275705,29450.211585028184,31.0,2021-06-21,2021-07-01,2021-06-28,10,2021-06-22,Male,0.5757575757575758,0.6816244336247836,20-24,0.21212121212121213,2.1621826992346715,11,5.0,0.2727272727272727,1.476281594609191,0.24242424242424243,0.2727272727272727,3.0303030303030303,3.0,5.0,Lothian,0.45454545454545453,1.2535637658317436,5,1,AY.4,1.0,-0.0,1,0,large,intermediate_spread,age_mixed,mixed_deprivation,multi_board,lineage_pure,long_lived,1.0
meta_representative,W071|AY.4|R0.3|C212,6.0,272707.8128247607,668273.6956403445,9483.469754479729,6874.78377432171,25760.044248532104,6793.884290986676,11937.280703297085,6.0,2021-11-07,2021-11-15,2021-11-15,8,2021-11-16,Male,0.6666666666666666,0.6365141682948128,30-34,0.3333333333333333,1.5607104090414063,5,1.0,0.5,1.0114042647073518,0.5,0.0,2.1666666666666665,1.5,3.0,Lanarkshire,0.8333333333333334,0.45056120886630463,2,1,AY.4,1.0,-0.0,1,0,moderate_or_small,spatially_compact,intermediate_age_mix,predominantly_deprived,multi_board,lineage_pure,intermediate_duration,2.0
meta_representative,W071|AY.4.2.1|R0.3|C32,6.0,390147.2658904332,805541.0520093264,4440.312212758635,3494.443988314085,8691.07081580569,4288.281831923585,3872.7331088215446,6.0,2021-11-15,2021-11-21,2021-11-19,6,2021-11-16,Female,0.6666666666666666,0.6365141682948128,10-14,0.5,1.242453324894,4,5.0,0.5,1.0114042647073518,0.0,0.5,3.8333333333333335,4.5,3.0,Grampian,1.0,-0.0,1,0,AY.4.2.1,1.0,-0.0,1,0,moderate_or_small,spatially_compact,age_homogeneous,predominantly_affluent,single_board,lineage_pure,intermediate_duration,3.0
meta_representative,W094|BA.2|R0.3|C991,7.0,320722.1514389971,688066.9832338853,32784.37919601628,20830.309085022313,72384.30746413014,31548.52149587735,28344.063962453038,6.0,2022-04-17,2022-04-22,2022-04-19,5,2022-04-26,Female,0.5714285714285714,0.6829081047004717,25-29,0.2857142857142857,1.5498260458782016,5,4.0,0.5714285714285714,1.1537419427010902,0.14285714285714285,0.0,3.142857142857143,4.0,4.0,Lothian,0.5714285714285714,0.9556998911125343,3,1,BA.2,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,intermediate_age_mix,mixed_deprivation,multi_board,lineage_pure,short_lived,4.0
meta_extreme,W069|AY.4|R0.3|C63,91.0,321314.8026388063,675460.1772555782,25296.150950832416,10201.306650869386,206746.53305159818,29002.317436411093,32017.69481404122,76.0,2021-10-25,2021-11-08,2021-11-01,14,2021-11-02,Male,0.9560439560439561,0.18031902555609897,30-34,0.25274725274725274,2.0898928960442786,11,1.0,0.31868131868131866,1.4611180996601287,0.31868131868131866,0.03296703296703297,2.4835164835164836,2.0,5.0,Lothian,0.7362637362637363,1.0991135291125809,9,1,AY.4,1.0,-0.0,1,0,large,intermediate_spread,age_mixed,mixed_deprivation,multi_board,lineage_pure,long_lived,0.0
meta_extreme,W070|AY.4|R0.3|C197,6.0,342729.73470726336,912018.271637111,188840.8237078473,189989.1813986296,274937.3335562125,92843.73782989295,206189.7966087586,5.0,2021-10-30,2021-11-05,2021-11-03,6,2021-11-09,Female,0.8333333333333334,0.45056120886630463,65-69,0.16666666666666666,1.7917594692280547,6,4.0,0.5,1.2424533248940002,0.16666666666666666,0.0,3.0,3.5,4.0,Highland,0.3333333333333333,1.329661348854758,4,1,AY.4,1.0,-0.0,1,0,moderate_or_small,spatially_dispersed,intermediate_age_mix,mixed_deprivation,multi_board,lineage_pure,intermediate_duration,0.0
meta_extreme,W033|B.1.1.7|R0.3|C71,12.0,328117.06519465975,675804.924849172,13273.027122959946,7602.787049835339,59526.14411068696,9953.39812766565,18198.055706223615,10.0,2021-02-13,2021-02-22,2021-02-16,9,2021-02-23,Female,0.8333333333333334,0.45056120886630463,45-49,0.16666666666666666,2.3693821196946763,11,1.0,0.3333333333333333,1.4451858789480823,0.3333333333333333,0.16666666666666666,2.6666666666666665,3.0,5.0,Lothian,0.9166666666666666,0.2868359830561607,2,1,B.1.1.7,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,age_mixed,mixed_deprivation,multi_board,lineage_pure,long_lived,0.0
meta_extreme,W071|AY.3|R0.3|C9,5.0,260715.60916553173,666934.8512919977,2886.7118180943394,2960.28259906501,3766.884022329591,2340.321338418091,2321.9592104846606,5.0,2021-11-07,2021-11-09,2021-11-08,2,2021-11-16,Female,1.0,-0.0,75+,0.4,1.3321790402101223,4,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,Greater Glasgow and Clyde,1.0,-0.0,1,0,AY.3,1.0,-0.0,1,0,moderate_or_small,spatially_compact,age_homogeneous,predominantly_deprived,single_board,lineage_pure,short_lived,0.0
meta_extreme,W052|AY.4|R0.3|C58,5.0,292676.1560205974,669017.8233962788,15761.469946241306,14173.669726174177,26078.376001777156,18544.198502521846,1237.3980513548333,5.0,2021-06-26,2021-07-04,2021-06-28,8,2021-07-06,Female,1.0,-0.0,15-19,0.4,1.3321790402101223,4,1.0,0.2,1.6094379124341005,0.2,0.2,3.0,3.0,5.0,Lothian,0.6,0.6730116670092565,2,1,AY.4,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,age_homogeneous,mixed_deprivation,multi_board,lineage_pure,intermediate_duration,0.0
meta_extreme,W004|B.1.1.269|R0.3|C2,5.0,269185.4785780853,665715.6610645629,11619.871807829757,13317.950575120347,19078.762125824054,12924.619535674587,6085.999437778774,4.0,2020-08-04,2020-08-14,2020-08-09,10,2020-08-04,Male,0.8,0.5004024235381879,20-24,0.6,0.6730116670092565,2,1.0,0.4,1.3321790402101223,0.4,0.2,2.6,2.0,4.0,Greater Glasgow and Clyde,0.6,0.6730116670092565,2,1,B.1.1.269,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,age_homogeneous,mixed_deprivation,multi_board,lineage_pure,long_lived,0.0
meta_extreme,W064|AY.5|R0.3|C87,15.0,343564.7602371945,841071.1640564707,222379.369558645,183069.14138966223,366344.5660395727,69378.95668116106,234696.62886488368,13.0,2021-09-30,2021-10-08,2021-10-05,8,2021-09-28,Female,0.6,0.6730116670092565,10-14,0.26666666666666666,2.0611128325795947,9,3.0,0.4666666666666667,1.171059869990371,0.13333333333333333,0.0,2.466666666666667,3.0,4.0,Shetland,0.3333333333333333,1.6170531525095537,6,1,AY.5,1.0,-0.0,1,0,moderate_or_small,spatially_dispersed,age_mixed,mixed_deprivation,multi_board,lineage_pure,intermediate_duration,1.0
meta_extreme,W043|B.1.1.7|R0.3|C89,40.0,310938.7073370726,690739.6414769965,32380.238194125985,19654.811850850412,158933.0159877642,32112.441785893872,29076.015458493188,26.0,2021-04-24,2021-05-06,2021-04-28,12,2021-05-04,Female,0.6,0.6730116670092565,20-24,0.175,2.3175669856624372,12,1.0,0.65,0.9596878938212181,0.65,0.0,1.525,1.0,4.0,Fife,0.75,0.7220931095313525,4,1,B.1.1.7,1.0,-0.0,1,0,large,intermediate_spread,age_mixed,predominantly_deprived,multi_board,lineage_pure,long_lived,1.0
meta_extreme,W001|B.1.1.406|R0.3|C1,28.0,267495.5579060978,661318.3499830284,14139.325376782968,9693.282926773536,51105.557674541786,15673.773740628492,10217.872100594484,25.0,2020-07-17,2020-07-24,2020-07-20,7,2020-07-14,Male,0.6071428571428571,0.6700089798274271,20-24,0.17857142857142858,2.283459755791868,12,2.0,0.35714285714285715,1.4413846447046488,0.21428571428571427,0.03571428571428571,2.4285714285714284,2.0,5.0,Lanarkshire,0.5714285714285714,0.9255162785403126,4,1,B.1.1.406,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,age_mixed,mixed_deprivation,multi_board,lineage_pure,intermediate_duration,1.0
meta_extreme,W036|B.1.1.7|R0.3|C27,49.0,257528.97798588223,668245.547554698,8724.603828075436,6443.441316114896,23495.43812678412,9297.443360164056,4575.92466946073,23.0,2021-03-06,2021-03-20,2021-03-12,14,2021-03-16,Male,0.5714285714285714,0.6829081047004717,05-09,0.30612244897959184,2.063714639638815,11,1.0,0.7959183673469388,0.6985290490145802,0.7959183673469388,0.0,1.3877551020408163,1.0,4.0,Greater Glasgow and Clyde,0.7551020408163265,0.5566602457577223,2,1,B.1.1.7,1.0,-0.0,1,0,large,spatially_compact,age_mixed,predominantly_deprived,multi_board,lineage_pure,long_lived,2.0
meta_extreme,W086|BA.1.1|R0.3|C530,5.0,204467.29736519203,759975.4998445234,143876.59743359472,123790.23080078683,183072.15159893443,65441.71785492677,150165.95809283853,5.0,2022-02-19,2022-03-01,2022-02-25,10,2022-03-01,Male,0.6,0.6730116670092565,45-49,0.2,1.6094379124341005,5,1.0,0.6,0.9502705392332347,0.6,0.0,1.6,1.0,3.0,Ayrshire and Arran,0.4,1.0549201679861442,3,1,BA.1.1,1.0,-0.0,1,0,moderate_or_small,spatially_dispersed,intermediate_age_mix,predominantly_deprived,multi_board,lineage_pure,long_lived,2.0
meta_extreme,W053|AY.4.2|R0.3|C3,19.0,255928.3164025667,664542.137276742,2725.7542001543547,2141.362251483703,8177.285612726904,3350.1396263060547,1349.4610571922042,14.0,2021-07-03,2021-07-11,2021-07-05,8,2021-07-13,Male,0.5789473684210527,0.6806294878916634,35-39,0.10526315789473684,2.506661812497001,13,1.0,0.6842105263157895,0.8976221848780437,0.6842105263157895,0.05263157894736842,1.5263157894736843,1.0,4.0,Greater Glasgow and Clyde,1.0,-0.0,1,0,AY.4.2,1.0,-0.0,1,0,moderate_or_small,spatially_compact,age_mixed,predominantly_deprived,single_board,lineage_pure,intermediate_duration,2.0
meta_extreme,W024|B.1.1.7|R0.3|C3,6.0,274755.17969626567,669847.0638667471,9064.045160293992,6449.284131348439,25381.781444706918,3260.0766651845843,12348.928183462478,3.0,2020-12-13,2020-12-19,2020-12-19,6,2020-12-22,Female,0.6666666666666666,0.6365141682948128,75+,0.3333333333333333,1.5607104090414063,5,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,Lanarkshire,0.8333333333333334,0.45056120886630463,2,1,B.1.1.7,1.0,-0.0,1,0,moderate_or_small,spatially_compact,intermediate_age_mix,predominantly_deprived,multi_board,lineage_pure,intermediate_duration,2.0
meta_extreme,W063|AY.4.2.2|R0.3|C87,6.0,255786.60691634112,666339.9584624739,6911.780792574597,6193.262154094336,15031.921888293455,8326.045530497324,2562.00050236768,6.0,2021-09-23,2021-10-01,2021-09-26,8,2021-09-21,Male,0.6666666666666666,0.6365141682948128,25-29,0.3333333333333333,1.5607104090414063,5,1.0,0.3333333333333333,1.5607104090414063,0.3333333333333333,0.16666666666666666,2.6666666666666665,2.5,5.0,Greater Glasgow and Clyde,1.0,-0.0,1,0,AY.4.2.2,1.0,-0.0,1,0,moderate_or_small,spatially_compact,intermediate_age_mix,mixed_deprivation,single_board,lineage_pure,intermediate_duration,2.0
meta_extreme,W004|B.1.1.406|R0.3|C1,14.0,244261.40338485545,668098.964846882,17637.67866547465,14341.890689756678,37900.531686000395,17512.900067921928,8900.84901745897,11.0,2020-07-25,2020-07-29,2020-07-28,4,2020-08-04,Male,0.5714285714285714,0.6829081047004717,25-29,0.42857142857142855,1.6731183626432509,7,2.0,0.5,0.9922819748525737,0.35714285714285715,0.0,1.7857142857142858,2.0,3.0,Greater Glasgow and Clyde,0.8571428571428571,0.509137344082687,3,1,B.1.1.406,1.0,-0.0,1,0,moderate_or_small,intermediate_spread,intermediate_age_mix,predominantly_deprived,multi_board,lineage_pure,short_lived,2.0
meta_extreme,W072|AY.4|R0.3|C115,51.0,281268.26962921576,681732.911314665,3041.4232318741565,1286.9272778698244,18141.893515875563,3452.1688644337555,3368.4667579283223,26.0,2021-11-20,2021-12-03,2021-11-25,13,2021-11-23,Female,0.5098039215686274,0.6929549344838639,10-14,0.39215686274509803,1.6465071088552132,9,3.0,0.37254901960784315,1.396788352423706,0.0196078431372549,0.21568627450980393,3.2745098039215685,3.0,5.0,Forth Valley,0.9803921568627451,0.09650896073594732,2,1,AY.4,1.0,-0.0,1,0,large,spatially_compact,intermediate_age_mix,mixed_deprivation,multi_board,lineage_pure,long_lived,3.0
meta_extreme,W082|BA.2|R0.3|C152,6.0,339987.04732834705,724133.127550677,69287.16441077329,76032.0114780752,100108.79737295659,51238.27028021418,66400.49704908302,5.0,2022-02-09,2022-02-11,2022-02-11,2,2022-02-01,Male,0.6666666666666666,0.6365141682948128,30-34,0.6666666666666666,0.8675632284814612,3,5.0,1.0,-0.0,0.0,1.0,5.0,5.0,1.0,Grampian,0.3333333333333333,1.329661348854758,4,1,BA.2,1.0,-0.0,1,0,moderate_or_small,spatially_dispersed,age_homogeneous,predominantly_affluent,multi_board,lineage_pure,short_lived,3.0
