term,estimate,std_error,conf_low,conf_high,z,p_value,epoch,n_obs
median_age,1.180318203801288,0.04724589154983101,1.0759282964239687,1.2948363444432816,3.5089625981178165,0.0004498581620582254,Pre-VOC,675
frac_female,1.0286283853685045,0.05054042601696695,0.9316191690902043,1.1357391413694367,0.5584885669132313,0.5765108094998102,Pre-VOC,675
frac_vaccinated,0.25120884277230404,0.054502155602047,0.2257577166589219,0.27952923878274993,-25.34708265441052,0.0,Pre-VOC,675
mean_vacc_dose,0.9744590784795504,0.04243771799157695,0.8966863424067897,1.05897731539267,-0.6096641022519015,0.5420843388895453,Pre-VOC,675
median_age,1.4775504849817065,0.019519889481053265,1.42208962744683,1.5351742910812431,19.999377521355434,0.0,Alpha,5188
frac_female,1.1344220328541175,0.017830992352312138,1.0954609091035923,1.1747688465469208,7.073263034876222,1.5132339825640884e-12,Alpha,5188
frac_vaccinated,0.24462465383393206,0.021180172262899328,0.2346775949523719,0.2549933293611431,-66.47869766489013,0.0,Alpha,5188
mean_vacc_dose,0.9857927446581057,0.01619337280845226,0.9549965299363319,1.0175820591571665,-0.8836420157179644,0.3768894905215445,Alpha,5188
median_age,1.0349510644228774,0.006021787324151528,1.022807869592502,1.0472384282463474,5.704974785631429,1.1636031249651069e-08,Delta,55311
frac_female,0.961027131708803,0.005041278564871813,0.9515782452522072,0.9705698427727972,-7.885427696828105,3.1086244689504383e-15,Delta,55311
frac_vaccinated,0.42502434503375147,0.005522859372387667,0.4204484350778085,0.4296500564639728,-154.92134989778657,0.0,Delta,55311
mean_vacc_dose,0.9916758777874493,0.005112827622632624,0.9817879614092784,1.0016633786931808,-1.634899864703767,0.10207004085744131,Delta,55311
median_age,0.8931904189263337,0.008030809937914302,0.879241580013408,0.9073605509530539,-14.065266969381327,0.0,Omicron BA.1,23606
frac_female,0.946036830491214,0.007383473129516467,0.9324449917945342,0.959826791415781,-7.513236230302265,5.773159728050814e-14,Omicron BA.1,23606
frac_vaccinated,0.38838251347397196,0.007367499956140725,0.3828145540658725,0.3940314577130841,-128.36980945508802,0.0,Omicron BA.1,23606
mean_vacc_dose,1.0994326887613626,0.007473110793723831,1.0834466273178467,1.1156546216857914,12.684718839702313,0.0,Omicron BA.1,23606
median_age,1.0290431764823407,0.0041045612748622316,1.0207979479333456,1.037355003709324,6.975024541450517,3.0582203436324562e-12,Omicron BA.2+,92245
frac_female,0.9791996711085535,0.003911669524163172,0.9717211149284937,0.9867357837229432,-5.3735886868743865,7.718481453977688e-08,Omicron BA.2+,92245
frac_vaccinated,0.5321965148538988,0.0035856686561661333,0.5284694658541965,0.5359498489942643,-175.9065127057869,0.0,Omicron BA.2+,92245
mean_vacc_dose,1.0129821222780686,0.003943806519360307,1.0051822396695906,1.020842529402704,3.2705906725864113,0.001073231303919675,Omicron BA.2+,92245
