pango_lineage,count
BA.5.2.22,8
BA.5.2.58,8
BQ.1.26,8
BQ.1.1.42,8
CH.1.1.11,8
DV.3,8
B.1.1.369,7
AY.87,7
BA.1.5,7
BA.2.25,7
BA.2.73,7
BA.2.21,7
BA.2.72,7
BE.12,7
BF.20,7
BE.1.4.4,7
BA.5.1.17,7
XBG,7
BA.5.2.4,7
BF.7.6,7
BA.5.10.1,7
BF.7.23,7
BE.1.4.1,7
BA.5.2.54,7
BQ.1.8.2,7
BQ.1.16,7
BN.1.3.12,7
CH.1.1.9,7
BN.1.7,7
BR.2.1,7
XBF.3,7
XBB.1.5.15,7
XBB.1.5.16,7
B.1.1.51,6
B.1.416,6
B.1.471,6
P.1,6
AY.5.4,6
AY.109,6
AY.34.2,6
XN,6
BA.2.62,6
BA.2.3.2,6
BA.2.9.5,6
BA.2.78,6
BA.4.1.7,6
BA.4.5,6
BF.21,6
BA.5.2.62,6
BA.5.1.18,6
BA.5.2.25,6
BQ.1.11,6
BQ.1.1.31,6
BQ.1.1.58,6
CK.2.1,6
B.1.1.70,5
B.1.362,5
P.2,5
AY.53,5
AY.17,5
AY.92,5
BA.2.68,5
BA.2.3.9,5
BA.2.14,5
BE.2,5
BT.2,5
BF.2,5
BA.4.1.5,5
BA.2.38.1,5
CN.1,5
BF.40,5
BN.1.4,5
XBB.3,5
BF.7.19,5
BE.4.1.1,5
BW.1.1.1,5
EF.1,5
BQ.1.1.76,5
GP.2,5
ER.1,5
XBT,5
CH.1.1.6,5
B.1.177.60,4
B.1.1.305,4
B.1.1.241,4
B.1.236,4
B.1.466.1,4
C.36.3,4
P.1.15,4
AY.45,4
AY.71,4
AY.26,4
AY.47,4
AY.39,4
AY.118,4
BA.2.4,4
BA.2.70,4
BA.2.3.5,4
BA.2.9.2,4
BA.2.15,4
BA.2.3.6,4
XAR,4
BA.5.2.19,4
BA.5.5.1,4
BA.5.5.2,4
BA.5.6.2,4
BA.5.1.7,4
BQ.1.15,4
XBD,4
BA.2.75.5,4
BF.7.4.1,4
BM.1.1,4
DF.1,4
DE.2,4
DN.2,4
BN.3.1,4
CB.1,4
XBB.2.5,4
BQ.1.17,4
XBB.1.5.7,4
BQ.1.1.10,4
B.1.1.170,3
B.1.1.171,3
B.1.523,3
B.1.558,3
B.1.1.189,3
B.1.527,3
B.1.1.317,3
B.1.177.52,3
L.3,3
B.1.36.31,3
B.1.351.3,3
B.1.637,3
P.1.17,3
AY.20,3
AY.112,3
AY.4.4,3
AY.113,3
AY.9.2.2,3
AY.129,3
AY.123,3
AY.39.1,3
XAD,3
XY,3
BA.2.30,3
BA.2.42,3
BA.2.63,3
XZ,3
BA.2.10.3,3
DE.1,3
BA.5.2.16,3
BA.2.74,3
BF.12,3
BA.5.2.31,3
BF.23,3
BA.5.1.19,3
BF.39,3
BF.18,3
BE.1.2,3
BA.5.2.30,3
BA.5.1.27,3
BE.4.2,3
CR.1,3
CA.2,3
BA.5.11,3
BF.7.12,3
BA.5.2.59,3
BF.11.4,3
BQ.1.1.51,3
BN.1.2.2,3
CL.1.1,3
BQ.1.3.1,3
XBM,3
BW.1.1,3
BQ.1.13,3
BQ.1.1.67,3
BY.1.2.1,3
FF.1,3
CH.1.1.19,3
XBB.1.5.33,3
EF.3,3
BA.5.3.5,3
XBC.1.1.1,3
XBB.1.5.20,3
EM.1,3
GP.3,3
XBB.1.43.1,3
B.1.1.28,2
B.1.177.10,2
B.1.177.83,2
B.1.177.16,2
B.1.177.21,2
B.1.2,2
B.1.1.420,2
B.1.466.2,2
AY.38,2
AY.58,2
AY.37,2
AY.75,2
AY.7.2,2
AY.88,2
AY.108,2
AY.5.5,2
AY.29,2
AY.1,2
AY.117,2
AY.43.7,2
AY.120.2.1,2
AY.131,2
BA.1.21.1,2
BA.2.45,2
BA.2.40,2
BA.2.58,2
BA.2.11,2
XL,2
BA.2.3.12,2
BA.2.3.4,2
BA.2.51,2
BA.3.1,2
BA.2.57,2
XAG,2
BA.5.1.6,2
BA.2.75,2
BF.8,2
BE.4,2
BF.34,2
BA.5.6.1,2
BA.4.1.4,2
BF.3.1,2
BA.4.6.4,2
BA.5.2.37,2
DC.1,2
BA.5.1.20,2
BL.1,2
CR.2,2
BF.7.11,2
CM.2,2
BA.5.2.23,2
BF.31,2
CV.1,2
BF.7.3,2
BF.7.22,2
DP.1,2
CT.1,2
BF.7.16,2
BQ.1.1.17,2
BQ.1.2.3,2
CL.1.3,2
BR.1,2
BQ.1.1.14,2
CL.1,2
XBB.2.6,2
CK.1,2
CP.1,2
CJ.1.2,2
XBB.1.35,2
FC.1,2
CH.1.1.28,2
BQ.1.1.40,2
BN.1.8,2
DV.2,2
BQ.1.1.39,2
XBB.1.29,2
BQ.1.1.26,2
BQ.1.22,2
BN.1.4.5,2
XBB.1.4.1,2
BQ.1.1.57,2
CH.1.1.8,2
B.1.1.10,1
B.1.9,1
B.1.1.67,1
B.1.1.39,1
B.1.1.462,1
B.1.36.1,1
B.1.177.82,1
B.1.1.306,1
B.1.1.485,1
B.1.36.9,1
B.1.1.253,1
B.1.1.243,1
B.1.1.294,1
B.1.240,1
B.1.177.81,1
B.1.466,1
B.1.1.159,1
B.1.1.263,1
B.1.36.29,1
B.1.469,1
B.1.177.73,1
B.1.177.18,1
B.1.177.75,1
B.1.1.163,1
C.36,1
B.1.617.1,1
A.27,1
R.1,1
B.1.1.523,1
AY.55,1
B,1
AY.4.6,1
AY.70,1
AY.24,1
B.1.621,1
AY.94,1
AY.43.4,1
AY.74,1
AY.5.1,1
AY.120.1,1
AY.80,1
AY.50,1
AY.72,1
AY.124.1,1
AY.110,1
AY.23.1,1
AY.91,1
AY.61,1
AY.99.2,1
B.1.640.1,1
AY.76,1
AY.23,1
AY.57,1
BA.1.6,1
BA.1.16.2,1
AY.104,1
BA.1.14.2,1
BA.1.14.1,1
BA.1.15.2,1
BA.3,1
BA.2.3.16,1
BA.1.17.1,1
XG,1
BA.2.34,1
BA.2.3.10,1
XR,1
BA.2.12.2,1
XJ,1
XAC,1
XAH,1
BA.2.20,1
XAU,1
BA.2.81,1
BA.2.77,1
XAM,1
BA.2.38.3,1
BF.25,1
BA.2.13.1,1
BA.5.2.10,1
BF.24,1
XAJ,1
BA.5.7,1
BE.4.1,1
BA.5.1.26,1
BA.5.5.3,1
BA.4.1.3,1
BF.5.5,1
BA.5.1.31,1
BA.2.75.3,1
EQ.1,1
BA.5.2.8,1
BY.1.2,1
BL.2,1
BA.5.2.57,1
BF.7.8,1
CA.3,1
BQ.2,1
CA.1,1
BA.5.2.52,1
BA.4.1.9,1
BF.7.1,1
BA.5.2.12,1
BF.13,1
BA.5.2.47,1
BQ.1.10.3,1
CP.3,1
BN.1.6,1
BN.5,1
CS.1,1
CM.7.1,1
BF.30,1
XBB.1.5.37,1
BE.10,1
DA.1,1
BQ.1.21,1
CP.6,1
BF.7.10,1
CP.8,1
BQ.1.1.11,1
BU.3,1
BE.1.2.1,1
BQ.1.1.66,1
XBV,1
BN.1.3.8,1
BQ.1.10.1,1
XBB.1.9.3,1
EJ.1,1
BQ.1.1.41,1
XBB.2.8,1
XBB.1.25,1
BQ.1.1.52,1
BN.1.10,1
DL.1,1
BN.1.2.4,1
EW.2,1
XBB.1.15,1
DV.3.1,1
EC.1,1
CH.1.1.24,1
XBF.4,1
XBB.1.5.56,1
FJ.1,1
BA.4.6.3,1
BN.1.3.5,1
BE.7,1
BQ.1.25.1,1
EC.1.1,1
XBF.7,1
EG.1.6,1
DU.1,1
BN.1.3.4,1
XBB.1.5.52,1
BQ.1.1.49,1
CH.1.1.3,1
BN.1.3.6,1
FD.4,1
XAY.2,1
CH.1.1.21,1
XBK,1
DS.2,1
XBF.2,1
BQ.1.1.13,1
DV.1,1
ET.1,1
XBB.1.5.47,1
XBF.6,1
BQ.1.1.23,1
CH.1.1.5,1
EK.2,1
XBB.1.5.31,1
CH.1.1.14,1
EG.1,1
BQ.1.1.45,1
XBB.1.5.107,1
